model_name,batch_size,input_length,avg_latency_ms,p50_latency_ms,p95_latency_ms,std_latency_ms,tokens_per_s,prefill_ai_flops_byte,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,weight_bytes_mb,param_count_m
gpt2,1,128,12.066,12.067,12.186,0.075,10608.7,64.0,58,4403,12288,474.7,124.4
gpt2,1,256,12.915,12.897,12.99,0.1206,19822.0,128.0,95,4403,12288,474.7,124.4
gpt2,1,512,26.839,26.849,27.03,0.1143,19076.9,256.0,97,4403,12288,474.7,124.4
gpt2,4,128,23.435,23.426,23.537,0.087,21847.5,242.5,97,4403,12288,474.7,124.4
gpt2,4,256,47.703,47.748,48.378,0.468,21466.3,461.4,99,4403,12288,474.7,124.4
gpt2,4,512,102.265,102.173,104.327,1.7007,20026.4,845.3,100,4403,12288,474.7,124.4
gpt2,8,128,45.35,45.328,45.696,0.2043,22580.1,453.0,98,4403,12288,474.7,124.4
gpt2,8,256,92.539,92.091,94.052,1.327,22131.2,815.5,100,4403,12288,474.7,124.4
gpt2,8,512,206.439,207.734,208.197,1.9635,19841.2,1371.3,100,4403,12288,474.7,124.4
gpt2,16,128,89.279,89.21,89.547,0.2837,22939.2,800.6,99,4403,12288,474.7,124.4
gpt2,16,256,187.774,187.743,188.035,0.1672,21813.4,1323.0,100,4403,12288,474.7,124.4
gpt2,16,512,414.648,415.302,415.764,1.5775,19756.5,1990.9,100,4403,12288,474.7,124.4
gpt2,32,128,174.338,174.324,174.46,0.1668,23494.6,1298.8,100,4403,12288,474.7,124.4
gpt2,32,256,375.822,375.812,376.101,0.1916,21797.5,1920.7,100,4403,12288,474.7,124.4
gpt2,32,512,807.846,813.24,825.45,14.5775,20281.1,2571.9,100,8697,12288,474.7,124.4
gpt2-large,1,128,35.091,35.068,35.539,0.3037,3647.6,64.0,95,12231,12288,2952.7,774.0
gpt2-large,1,256,78.075,77.808,80.267,1.4632,3278.9,128.0,98,12231,12288,2952.7,774.0
gpt2-large,1,512,156.916,156.921,157.079,0.1334,3262.9,256.0,99,12231,12288,2952.7,774.0
gpt2-large,4,128,135.541,135.505,135.904,0.1956,3777.5,245.0,99,12231,12288,2952.7,774.0
gpt2-large,4,256,298.155,298.044,298.715,0.3791,3434.5,470.3,100,12231,12288,2952.7,774.0
gpt2-large,4,512,586.165,586.271,586.472,0.3325,3493.9,873.4,100,12231,12288,2952.7,774.0
gpt2-large,8,128,280.927,280.852,281.607,0.4993,3645.1,463.3,100,12231,12288,2952.7,774.0
gpt2-large,8,256,536.268,536.226,536.591,0.314,3819.0,848.3,100,12231,12288,2952.7,774.0
gpt2-large,8,512,1237.589,1238.173,1238.706,1.8683,3309.7,1460.6,100,12231,12288,2952.7,774.0
gpt2-large,16,128,501.725,501.697,502.274,0.3631,4081.9,835.8,100,12231,12288,2952.7,774.0
gpt2-large,16,256,1140.328,1140.353,1140.633,0.2374,3591.9,1418.6,100,12231,12288,2952.7,774.0
gpt2-large,16,512,2264.647,2266.894,2277.095,9.3912,3617.3,2199.9,100,12231,12288,2952.7,774.0
gpt2-large,32,128,1122.376,1114.365,1169.603,28.4431,3649.4,1397.6,100,12231,12288,2952.7,774.0
gpt2-large,32,256,2122.9,2114.694,2173.022,40.5738,3858.9,2136.7,100,12231,12288,2952.7,774.0
gpt-neo-125m,1,128,12.632,12.594,12.88,0.1683,10133.1,64.0,70,3647,12288,477.6,125.2
gpt-neo-125m,1,256,15.791,15.76,15.841,0.0998,16211.6,128.0,82,3647,12288,477.6,125.2
gpt-neo-125m,1,512,28.633,28.608,28.842,0.1211,17881.6,256.0,94,3647,12288,477.6,125.2
gpt-neo-125m,4,128,26.686,26.654,26.955,0.1917,19185.9,242.5,90,3647,12288,477.6,125.2
gpt-neo-125m,4,256,53.158,53.06,54.0,0.5807,19263.5,461.7,97,3647,12288,477.6,125.2
gpt-neo-125m,4,512,115.798,115.775,116.645,0.4616,17686.0,846.1,99,3647,12288,477.6,125.2
gpt-neo-125m,8,128,53.311,53.25,53.592,1.0497,19208.0,453.3,97,3647,12288,477.6,125.2
gpt-neo-125m,8,256,105.303,105.649,106.422,0.9566,19448.6,816.4,99,3647,12288,477.6,125.2
gpt-neo-125m,8,512,233.113,233.227,234.363,1.1299,17570.9,1373.9,99,3647,12288,477.6,125.2
gpt-neo-125m,16,128,101.067,101.057,101.668,0.4598,20263.8,801.6,99,3647,12288,477.6,125.2
gpt-neo-125m,16,256,208.652,212.329,215.033,6.9886,19630.8,1325.7,100,3647,12288,477.6,125.2
gpt-neo-125m,16,512,469.448,476.178,480.77,12.7783,17450.3,1996.7,100,3647,12288,477.6,125.2
gpt-neo-125m,32,128,205.175,205.059,205.723,0.5207,19963.4,1301.7,100,3647,12288,477.6,125.2
gpt-neo-125m,32,256,418.1,412.013,440.076,10.6743,19593.4,1926.7,100,3647,12288,477.6,125.2
gpt-neo-125m,32,512,1003.773,995.757,1041.953,26.9495,16322.4,2581.8,100,6789,12288,477.6,125.2
